"Person","time","t1ambiv","pospexpress","posRel"
22,29,0.6,3,10
23,1,1.2,7,9.333333
23,2,1.2,5,9.666667
23,3,1.2,1,9.666667
23,4,1.2,5,9
23,5,1.2,6,9.333333
23,6,1.2,7,10
23,7,1.2,0,10
23,8,1.2,5,10
23,9,1.2,7,10
23,10,1.2,6,10
23,11,1.2,5,10
23,12,1.2,6,10
23,13,1.2,6,10
23,14,1.2,7,10
23,16,1.2,5,10
23,17,1.2,5,10
23,18,1.2,0,6
23,20,1.2,7,10
23,21,1.2,7,10
23,23,1.2,0,10
24,1,4.8,7,7.666667
24,2,4.8,7,8.666667
24,3,4.8,6,6
24,5,4.8,7,3
24,6,4.8,3,5.666667
24,7,4.8,2,3.666667
24,8,4.8,3,5
24,9,4.8,3,2.666667
24,10,4.8,4,3
24,11,4.8,2,2
24,12,4.8,4,4.666667
24,13,4.8,4,4.333333
24,14,4.8,5,4.666667
24,15,4.8,4,4.333333
24,16,4.8,5,3.666667
24,17,4.8,5,3.333333
24,18,4.8,5,5
24,19,4.8,5,3.333333
24,20,4.8,5,2.666667
27,1,1.2,10,9.666667
27,2,1.2,10,9.666667
27,3,1.2,0,4.333333
27,4,1.2,10,9
27,9,1.2,0,8.333333
27,10,1.2,10,8.333333
27,11,1.2,9,8.666667
27,13,1.2,9,8.666667
27,15,1.2,9,9.333333
27,16,1.2,10,9.666667
27,17,1.2,9,9.666667
27,18,1.2,10,10
27,20,1.2,8,10
29,1,0,0,6.333333
29,2,0,7,9.333333
29,3,0,9,9.333333
29,4,0,8,9.333333
29,6,0,8,9
29,7,0,0,8.666667
29,8,0,9,9.666667
29,9,0,9,6
29,10,0,0,8.333333
29,11,0,9,10
29,12,0,8,9.666667
29,13,0,8,9
29,14,0,9,9.333333
29,15,0,0,7.666667
29,16,0,9,9.333333
29,17,0,0,8.333333
29,18,0,0,8
29,19,0,8,8.666667
29,20,0,9,9.666667
31,1,1.4,7,9.333333
31,2,1.4,6,9
31,3,1.4,7,8.666667
31,4,1.4,7,7.666667
31,5,1.4,8,9.333333
31,6,1.4,7,9
31,7,1.4,7,9.333333
31,8,1.4,8,9.666667
31,9,1.4,6,10
31,10,1.4,6,10
31,11,1.4,6,10
31,12,1.4,5,10
31,13,1.4,6,10
31,14,1.4,10,10
31,15,1.4,6,10
31,16,1.4,6,9.333333
31,17,1.4,6,9.666667
31,18,1.4,7,9.666667
31,19,1.4,6,10
31,20,1.4,7,10
32,1,1.4,9,9
32,2,1.4,8,8.666667
32,3,1.4,8,9.333333
32,4,1.4,10,8.333333
32,5,1.4,10,8.666667
32,6,1.4,10,7.333333
32,7,1.4,9,8.666667
32,8,1.4,10,9
32,9,1.4,9,4.666667
32,11,1.4,4,3.666667
32,12,1.4,9,7.333333
32,13,1.4,10,6.333333
32,14,1.4,10,10
32,15,1.4,8,7
32,16,1.4,10,7.333333
32,17,1.4,9,6.666667
32,18,1.4,10,7
32,19,1.4,8,5.333333
32,20,1.4,9,6.333333
34,2,1,5,6
34,4,1,6,8.666667
34,6,1,7,7.333333
34,7,1,0,6
34,8,1,1,5.333333
34,9,1,4,9
34,13,1,2,6.333333
34,14,1,5,7.333333
34,15,1,5,7.666667
34,18,1,7,8.666667
34,20,1,8,9.666667
34,21,1,3,8
34,22,1,5,9
35,1,1.8,0,10
35,2,1.8,10,10
35,3,1.8,1,6.666667
35,5,1.8,10,9.333333
35,6,1.8,0,4
35,7,1.8,10,9.666667
35,8,1.8,6,9
35,9,1.8,10,10
35,10,1.8,10,10
35,11,1.8,0,5.333333
35,12,1.8,10,10
35,13,1.8,10,10
35,14,1.8,10,10
35,17,1.8,10,10
35,18,1.8,10,10
35,19,1.8,0,10
35,20,1.8,10,10
35,21,1.8,0,10
36,1,0.8,6,8.666667
36,2,0.8,0,8.333333
36,3,0.8,0,9
36,4,0.8,0,9
36,5,0.8,0,10
36,6,0.8,9,9.666667
36,7,0.8,8,9.333333
36,8,0.8,1,9.666667
36,9,0.8,0,9
36,10,0.8,8,9
36,11,0.8,7,8.666667
36,14,0.8,7,9
36,15,0.8,0,9.333333
36,16,0.8,0,10
36,17,0.8,0,9.333333
36,18,0.8,0,10
36,19,0.8,3,10
40,2,0.4,7,7
40,3,0.4,2,7
40,4,0.4,3,7.333333
40,5,0.4,6,9.333333
40,6,0.4,8,10
40,7,0.4,8,9.333333
40,8,0.4,6,8.333333
40,10,0.4,8,9.333333
40,11,0.4,6,8.333333
40,12,0.4,9,9.666667
40,13,0.4,2,7.333333
40,14,0.4,7,8
40,18,0.4,6,7.333333
40,19,0.4,6,7.666667
40,20,0.4,6,6
40,21,0.4,5,8.333333
40,22,0.4,8,8.666667
42,1,1.4,7,9.333333
42,3,1.4,8,10
42,4,1.4,9,9.666667
42,6,1.4,5,10
42,7,1.4,10,10
42,8,1.4,10,10
42,9,1.4,10,10
42,10,1.4,10,10
42,11,1.4,10,9.333333
42,12,1.4,10,10
42,13,1.4,10,9.333333
42,14,1.4,10,10
42,15,1.4,10,10
42,16,1.4,10,10
42,20,1.4,10,10
42,21,1.4,10,9
44,1,0.4,0,9.333333
44,2,0.4,5,10
44,3,0.4,3,9.333333
44,4,0.4,7,9
44,5,0.4,8,8.666667
44,6,0.4,3,10
44,9,0.4,8,8.666667
44,10,0.4,6,9
44,12,0.4,7,9.333333
44,13,0.4,9,10
44,14,0.4,7,10
44,15,0.4,3,9
44,16,0.4,10,10
44,17,0.4,10,9.666667
45,1,1.2,9,4
45,2,1.2,10,7
45,3,1.2,5,8.666667
45,4,1.2,7,9.333333
45,5,1.2,8,9
45,6,1.2,7,9.666667
45,7,1.2,5,9.666667
45,8,1.2,9,10
45,9,1.2,5,10
45,10,1.2,5,9.666667
45,11,1.2,5,10
45,12,1.2,9,10
45,13,1.2,5,9.666667
45,14,1.2,10,9.333333
45,15,1.2,5,10
45,16,1.2,10,9.333333
45,17,1.2,8,9.333333
45,18,1.2,8,10
45,19,1.2,10,10
45,20,1.2,5,10
46,1,2,9,10
46,2,2,3,10
46,3,2,2,9.333333
46,4,2,10,7
46,5,2,0,5
46,7,2,2,9.666667
46,9,2,2,9.333333
46,10,2,3,9
46,11,2,3,1.333333
46,13,2,1,5.666667
46,15,2,0,2.666667
46,17,2,0,9.333333
46,18,2,6,8.333333
47,1,1.6,9,10
47,2,1.6,6,9.333333
47,3,1.6,8,9.333333
47,4,1.6,3,8.666667
47,5,1.6,10,6.333333
47,6,1.6,10,7.666667
47,7,1.6,3,9.333333
47,8,1.6,5,7.666667
47,9,1.6,4,6.666667
47,10,1.6,5,8
47,11,1.6,6,8.333333
47,12,1.6,8,9
47,13,1.6,7,7.666667
47,14,1.6,3,8
47,15,1.6,9,9.333333
47,16,1.6,9,9.666667
47,17,1.6,9,9.666667
47,18,1.6,8,9.666667
47,19,1.6,3,8.333333
47,20,1.6,8,9
49,1,0.2,10,9.333333
49,2,0.2,8,10
49,3,0.2,0,6
49,4,0.2,8,9.333333
49,5,0.2,8,9.333333
49,6,0.2,8,8.666667
49,8,0.2,8,9
49,10,0.2,8,9.666667
49,11,0.2,9,10
49,12,0.2,10,8.5
49,13,0.2,0,8.666667
49,14,0.2,8,9
49,15,0.2,5,6.666667
49,16,0.2,7,9.333333
49,17,0.2,0,10
49,18,0.2,9,9.333333
49,20,0.2,9,9.666667
51,1,0.6,9,7
51,2,0.6,9,7.666667
51,6,0.6,0,7.333333
51,8,0.6,9,8.666667
51,9,0.6,9,7.666667
51,10,0.6,0,8.333333
51,12,0.6,8,8.333333
51,13,0.6,10,9.666667
51,14,0.6,10,9.666667
51,15,0.6,9,7.333333
51,17,0.6,5,8
51,20,0.6,8,8.333333
51,22,0.6,10,8
53,1,0.2,10,10
53,2,0.2,10,10
53,3,0.2,10,10
53,4,0.2,10,10
53,5,0.2,0,10
53,6,0.2,10,10
53,7,0.2,0,7.666667
53,8,0.2,6,10
53,9,0.2,8,10
53,10,0.2,10,10
53,12,0.2,0,10
53,13,0.2,0,10
53,14,0.2,8,10
53,15,0.2,9,10
53,16,0.2,10,10
53,17,0.2,0,10
53,18,0.2,6,8.666667
53,19,0.2,3,10
53,20,0.2,8,10
55,1,0.4,10,10
55,2,0.4,9,9.333333
55,3,0.4,4,8.333333
55,4,0.4,10,9.333333
55,5,0.4,10,9
