"DYAD","PERSON","DAY","sexf","hb","ARGUE","CLOSE","SUP","REAP"
46,46,5,1,1,1,2,0,4
46,46,6,1,NA,NA,NA,NA,NA
46,46,7,1,0,0,2,0,5
46,546,1,0,1,0,2,0,10
46,546,2,0,-1,0,2,5,5
46,546,3,0,1,0,1,0,6
46,546,4,0,NA,NA,NA,NA,NA
46,546,5,0,0,0,2,0,5
46,546,6,0,NA,NA,NA,NA,NA
46,546,7,0,-1,1,2,5,7
50,50,1,1,-1,0,3,7,10
50,50,2,1,-2,0,2,5,8
50,50,3,1,-1,0,3,6,8
50,50,4,1,0,0,3,4,9
50,50,5,1,NA,NA,NA,NA,NA
50,50,6,1,1,0,3,2,10
50,50,7,1,-1,0,3,3,10
50,550,1,0,0,0,3,5,8
50,550,2,0,0,0,2,4,3
50,550,3,0,0,0,3,5,7
50,550,4,0,1,0,3,5,9
50,550,5,0,NA,NA,NA,NA,NA
50,550,6,0,1,0,3,4,9
50,550,7,0,-1,0,3,4,8
51,51,1,1,-1,0,1,0,5
51,51,2,1,0,0,1,0,0
51,51,3,1,NA,NA,NA,NA,NA
51,51,4,1,0,1,1,7,2
51,51,5,1,1,0,1,NA,0
51,51,6,1,NA,NA,NA,NA,NA
51,51,7,1,1,0,1,0,8
51,551,1,0,0,0,2,0,0
51,551,2,0,2,0,2,0,0
51,551,3,0,NA,NA,NA,NA,NA
51,551,4,0,0,1,1,5,6
51,551,5,0,NA,0,1,0,1
51,551,6,0,NA,NA,NA,NA,NA
51,551,7,0,NA,0,1,NA,5
54,54,1,1,0,0,3,4,7
54,54,2,1,-1,0,3,5,4
54,54,3,1,0,0,3,3,7
54,54,4,1,1,0,3,3,4
54,54,5,1,-2,2,3,3,5
54,54,6,1,NA,NA,NA,NA,NA
54,54,7,1,-2,0,3,3,6
54,554,1,0,-1,0,3,6,5
54,554,2,0,1,0,3,5,6
54,554,3,0,1,0,3,4,6
54,554,4,0,-1,0,3,7,4
54,554,5,0,-1,2,2,5,6
54,554,6,0,NA,NA,NA,NA,NA
54,554,7,0,0,0,3,5,6
60,60,1,1,0,0,2,2,5
60,60,2,1,NA,NA,NA,NA,NA
60,60,3,1,0,2,2,7,5
