"DYAD","DAY","f_EATAMNTD","f_EXAMNTD","f_EATHLTHD","f_ARGUE","f_CLOSE","m_EATAMNTD","m_EXAMNTD","m_EATHLTHD","m_ARGUE","m_CLOSE"
124,2,-1,-1,0,3,2,0,1,0,1,0
124,3,1,0,0,1,2,-1,-1,0,0,2
124,4,-1,-1,-1,1,3,-1,0,1,2,3
124,5,-1,-1,-1,2,3,-1,-1,-1,1,1
124,6,-1,0,-1,1,3,1,1,1,1,3
124,7,-1,-1,-1,2,3,-1,-1,0,4,2
125,1,0,0,0,0,3,0,0,0,0,3
125,2,0,0,0,0,3,0,0,0,0,3
125,3,0,0,0,0,3,0,0,0,0,3
125,4,0,0,0,0,3,0,0,0,0,3
125,5,0,0,0,0,3,0,0,0,0,3
125,6,0,0,0,0,3,0,0,0,0,3
125,7,0,0,0,0,3,0,0,0,0,3
126,1,0,0,0,0,3,0,0,0,0,3
126,2,0,0,0,0,3,-1,0,0,0,3
126,3,0,0,0,0,3,-1,1,1,0,3
126,4,0,0,0,2,3,0,0,0,1,3
126,5,0,0,0,2,3,0,0,0,1,2
126,6,0,0,0,2,3,0,0,-1,1,2
126,7,0,0,0,0,3,0,0,0,0,2
127,1,0,1,0,0,3,0,0,0,0,3
127,2,0,0,1,0,2,0,0,0,1,3
127,3,0,0,0,1,3,1,1,1,2,3
127,4,-1,0,0,2,3,1,0,0,3,2
127,5,0,1,0,1,2,1,1,0,0,3
127,6,1,1,1,0,3,0,1,0,0,2
127,7,0,0,0,0,3,0,1,0,1,3
135,1,1,-1,0,1,3,0,0,0,0,3
135,2,0,-1,0,0,0,0,0,0,0,3
135,3,-1,1,0,0,1,-1,0,0,0,3
135,4,1,-1,-1,2,3,1,0,1,0,2
135,5,-1,1,0,0,2,-1,1,1,0,1
135,6,0,0,0,1,1,-1,0,1,0,1
135,7,-1,-1,-1,4,3,1,-1,-1,0,3
136,1,0,0,0,0,3,0,0,0,0,3
136,2,0,0,0,1,3,0,0,0,1,3
136,3,0,1,0,0,3,0,1,0,0,3
136,4,0,0,0,0,3,0,0,0,0,3
136,5,0,0,0,0,3,0,0,0,0,3
136,6,0,0,0,0,2,0,0,0,0,3
136,7,0,0,0,0,3,0,0,0,1,3
137,1,0,0,0,0,3,0,0,0,0,3
137,2,0,1,0,0,3,1,0,0,0,3
137,3,0,0,0,1,3,-1,0,0,1,3
